 270.75 -0.011419947601110 -0.011716253058933  0.143230074048867 -0.000007688037706 -0.141757775722756 0.147062941211959
 269.71 -0.011508550002779 -0.011809921211810  0.143049420795542 -0.000007891937104 -0.141564781496253 0.146914019177533
 268.68 -0.011597581604920 -0.011904098562820  0.142869336559822 -0.000008101064958 -0.141372244709392 0.146765947967725
 267.66 -0.011687042150307 -0.011998786005214  0.142689818836528 -0.000008315561781 -0.141180161802520 0.146618727669273
 266.64 -0.011776931352812 -0.012093984417832  0.142510865072166 -0.000008535566351 -0.140988529106698 0.146472358385392
 265.62 -0.011867248897148 -0.012189694665000  0.142332472664636 -0.000008761201833 -0.140797342895738 0.146326840142104
 264.61 -0.011957994438612 -0.012285917596416  0.142154638962745 -0.000008992617415 -0.140606599407025 0.146182172964561
 263.60 -0.012049167602827 -0.012382654047029  0.141977361265917 -0.000009229958811 -0.140416294825904 0.146038356856233
 262.59 -0.012140767985492 -0.012479904836933  0.141800636823747 -0.000009473363066 -0.140226425259654 0.145895391774620
 261.59 -0.012232795152115 -0.012577670771260  0.141624462835701 -0.000009722984570 -0.140036986713207 0.145753277665077
 260.59 -0.012325248637760 -0.012675952640052  0.141448836450639 -0.000009978982918 -0.139847975220986 0.145612014425256
 259.60 -0.012418127946787 -0.012774751218156  0.141273754766486 -0.000010241502091 -0.139659386669960 0.145471601951941
 258.61 -0.012511432552587 -0.012874067265111  0.141099214829832 -0.000010510712092 -0.139471216929754 0.145332040095945
 257.62 -0.012605161897324 -0.012973901525022  0.140925213635606 -0.000010786775986 -0.139283461795398 0.145193328677726
 256.64 -0.012699315391674 -0.013074254726450  0.140751748126541 -0.000011069855102 -0.139096116994267 0.145055467484778
 255.66 -0.012793892414556 -0.013175127582307  0.140578815192980 -0.000011360143728 -0.138909178191288 0.144918456302864
 254.68 -0.012888892312872 -0.013276520789713  0.140406411672287 -0.000011657785848 -0.138722641006284 0.144782294848357
 253.71 -0.012984314401242 -0.013378435029902  0.140234534348627 -0.000011962986157 -0.138536500960199 0.144646982837629
 252.74 -0.013080157961734 -0.013480870968083  0.140063179952458 -0.000012275930272 -0.138350753516731 0.144512519932409
 251.78 -0.013176422243600 -0.013583829253342  0.139892345160183 -0.000012596788196 -0.138165394091005 0.144378905791824
 250.82 -0.013273106463004 -0.013687310518495  0.139722026593806 -0.000012925771564 -0.137980418016617 0.144246140016020
 249.86 -0.013370209802757 -0.013791315379988  0.139552220820388 -0.000013263076401 -0.137795820571648 0.144114222190399
 248.91 -0.013467731412043 -0.013895844437762  0.139382924351831 -0.000013608895261 -0.137611596937037 0.143983151862197
 247.96 -0.013565670406147 -0.014000898275135  0.139214133644322 -0.000013963439779 -0.137427742286783 0.143852928537885
 247.01 -0.013664025866187 -0.014106477458667  0.139045845098044 -0.000014326930267 -0.137244251631821 0.143723551715262
 246.07 -0.013762796838832 -0.014212582538046  0.138878055056736 -0.000014699581830 -0.137061120016047 0.143595020829675
 245.13 -0.013861982336036 -0.014319214045952  0.138710759807268 -0.000015081607838 -0.136878342356719 0.143467335294786
 244.20 -0.013961581334754 -0.014426372497920  0.138543955579257 -0.000015473244214 -0.136695913487833 0.143340494507781
 243.26 -0.014061592776671 -0.014534058392232  0.138377638544700 -0.000015874732084 -0.136513828201748 0.143214497809463
 242.34 -0.014162015567917 -0.014642272209760  0.138211804817517 -0.000016286281351 -0.136332081216231 0.143089344499872
 241.41 -0.014262848578793 -0.014751014413850  0.138046450453132 -0.000016708169570 -0.136150667183130 0.142965033870374
 240.49 -0.014364090643487 -0.014860285450169  0.137881571448138 -0.000017140627459 -0.135969580660616 0.142841565157689
 239.57 -0.014465740559791 -0.014970085746575  0.137717163739834 -0.000017583915227 -0.135788816165230 0.142718937562979
 238.66 -0.014567797088818 -0.015080415712991  0.137553223205833 -0.000018038291347 -0.135608368083406 0.142597150248371
 237.75 -0.014670258954721 -0.015191275741246  0.137389745663614 -0.000018504012558 -0.135428230766885 0.142476202344768
 236.84 -0.014773124844400 -0.015302666204936  0.137226726870188 -0.000018981378969 -0.135248398551793 0.142356092967463
 235.94 -0.014876393407219 -0.015414587459277  0.137064162521617 -0.000019470654256 -0.135068865559154 0.142236821147612
 235.04 -0.014980063254716 -0.015527039840956  0.136902048252640 -0.000019972119444 -0.134889625984583 0.142118385923311
